28 - 7 - 2023,01:47:10,0.102
28 - 7 - 2023,10:10:57,0.093973
28 - 7 - 2023,10:14:06,0.093973
28 - 7 - 2023,10:22:14,0.093973
28 - 7 - 2023,10:29:12,0.093973
28 - 7 - 2023,10:29:29,0.093973
28 - 7 - 2023,11:01:28,0.093973
28 - 7 - 2023,11:34:45,0.094034
28 - 7 - 2023,12:06:07,0.089332
28 - 7 - 2023,12:21:12,0.089332
28 - 7 - 2023,12:59:41,0.094034
28 - 7 - 2023,13:33:24,0.089332
28 - 7 - 2023,14:13:37,0.094034
28 - 7 - 2023,14:54:08,0.094034
28 - 7 - 2023,14:59:16,0.094034
28 - 7 - 2023,15:02:38,0.094034
28 - 7 - 2023,15:42:24,0.093498
28 - 7 - 2023,16:12:07,0.097145
28 - 7 - 2023,16:48:27,0.097145
28 - 7 - 2023,17:17:32,0.097051
28 - 7 - 2023,17:18:24,0.097051
28 - 7 - 2023,17:28:34,0.097051
28 - 7 - 2023,17:42:27,0.097051
28 - 7 - 2023,17:54:07,0.097051
28 - 7 - 2023,18:07:34,0.097051
28 - 7 - 2023,18:21:28,0.096958
28 - 7 - 2023,18:34:52,0.097051
28 - 7 - 2023,18:46:58,0.1
28 - 7 - 2023,18:58:30,0.097238
28 - 7 - 2023,19:12:23,0.097238
28 - 7 - 2023,19:24:22,0.097238
28 - 7 - 2023,19:37:23,0.097089
28 - 7 - 2023,19:47:27,0.097089
28 - 7 - 2023,19:59:23,0.097089
28 - 7 - 2023,20:10:00,0.097089
28 - 7 - 2023,20:18:30,0.097089
28 - 7 - 2023,20:33:16,0.097089
28 - 7 - 2023,20:43:35,0.097089
28 - 7 - 2023,20:44:10,0.097089
28 - 7 - 2023,20:54:52,0.097089
28 - 7 - 2023,21:09:31,0.097089
28 - 7 - 2023,21:23:39,0.097089
28 - 7 - 2023,21:36:50,0.097089
28 - 7 - 2023,21:47:56,0.1
28 - 7 - 2023,22:01:40,0.1
28 - 7 - 2023,22:27:40,0.1
28 - 7 - 2023,22:38:00,0.1
28 - 7 - 2023,22:49:52,0.1
28 - 7 - 2023,23:01:21,0.1
28 - 7 - 2023,23:14:10,0.1
28 - 7 - 2023,23:27:11,0.1
28 - 7 - 2023,23:39:15,0.1
28 - 7 - 2023,23:51:40,0.1
29 - 7 - 2023,00:05:55,0.1
29 - 7 - 2023,00:16:01,0.1
29 - 7 - 2023,00:29:45,0.09989
29 - 7 - 2023,00:46:45,0.1
29 - 7 - 2023,00:58:38,0.1
29 - 7 - 2023,01:11:50,0.1
29 - 7 - 2023,01:26:37,0.1
